struktura;rozmiar;insert_ns;remove_ns
Lancuchowa;5000;82;123
Adresowanie_otwarte;5000;45;37
Kubelki_AVL;5000;88;138
Lancuchowa;8000;91;125
Adresowanie_otwarte;8000;47;39
Kubelki_AVL;8000;100;144
Lancuchowa;10000;83;124
Adresowanie_otwarte;10000;49;39
Kubelki_AVL;10000;88;139
Lancuchowa;16000;90;125
Adresowanie_otwarte;16000;55;40
Kubelki_AVL;16000;103;147
Lancuchowa;20000;92;127
Adresowanie_otwarte;20000;52;40
Kubelki_AVL;20000;92;140
Lancuchowa;40000;92;125
Adresowanie_otwarte;40000;55;42
Kubelki_AVL;40000;99;147
Lancuchowa;60000;99;127
Adresowanie_otwarte;60000;55;45
Kubelki_AVL;60000;112;154
Lancuchowa;100000;133;149
Adresowanie_otwarte;100000;68;82
Kubelki_AVL;100000;143;216
